k,y,u
0,0,0.2
1,0,0.4
2,0.05426,0.6
3,0.153833,0.8
4,0.291246,0.954509
5,0.460259,0.955519
6,0.643321,0.88713
7,0.796469,0.800995
8,0.90581,0.723915
9,0.973752,0.666178
10,1.00958,0.628593
11,1.02383,0.607536
12,1.02554,0.598097
13,1.02125,0.595767
14,1.01511,0.597101
15,1.00935,0.599824
16,1.0049,0.602634
17,1.00193,0.604926
18,1.0002,0.606531
19,0.999386,0.607509
20,0.999139,0.60801
21,0.999199,0.608192
22,0.999384,0.608191
23,0.999588,0.608121
24,0.999758,0.608074
25,0.999881,0.608129
26,0.999971,0.608364
27,1.00006,0.608837
28,1.0002,0.609563
29,1.00044,0.610459
30,1.00085,0.6114
31,1.00142,0.611988
32,1.00216,0.612034
33,1.00294,0.611497
34,1.0036,0.610463
35,1.004,0.609138
36,1.00406,0.607887
37,1.00375,0.60697
38,1.00315,0.606475
39,1.0024,0.606359
40,1.00164,0.606508
41,1.00098,0.606797
42,1.00046,0.607122
43,1.00011,0.607413
44,0.999904,0.607636
45,0.999811,0.607784
46,0.999794,0.607867
47,0.99982,0.607901
48,0.999864,0.607903
49,0.99991,0.607888
50,0.999949,0.607868
51,0.999977,0.607848
52,0.999996,0.607833
53,1.00001,0.607824
54,1.00001,0.607819
55,1.00001,0.607819
56,1.00001,0.607822
57,1.00001,0.607826
58,1.00001,0.607828
59,1.00001,0.607829
60,1.00001,0.607826
61,1.00002,0.60782
62,1.00002,0.607811
63,1.00001,0.607802
64,1.00001,0.607795
65,1.00001,0.60779
66,1,0.60779
67,0.999994,0.607793
68,0.999988,0.607799
69,0.999984,0.607805
70,0.999983,0.607812
71,0.999983,0.607817
72,0.999985,0.60782
73,0.999988,0.607821
74,0.999992,0.607821
75,0.999995,0.60782
76,0.999997,0.607818
77,0.999999,0.607817
78,1,0.607816
79,1,0.607815
80,1,0.607814
81,1,0.607814
82,1,0.607814
83,1,0.607814
84,1,0.607814
85,1,0.607814
86,1,0.607814
87,1,0.607814
88,1,0.607814
89,1,0.607814
90,1,0.607814
91,1,0.607814
92,1,0.607814
93,1,0.607814
94,1,0.607814
95,1,0.607814
96,1,0.607814
97,1,0.607814
98,1,0.607814
99,1,0.607814
