k,y,u
0,0,0.2
1,0,0.4
2,0.05426,0.6
3,0.153833,0.8
4,0.291246,1
5,0.460259,1
6,0.655662,1
7,0.818844,0.988078
8,0.955116,0.914259
9,1.06568,0.824807
10,1.13799,0.726988
11,1.17411,0.632966
12,1.17773,0.553333
13,1.15524,0.495598
14,1.11486,0.463381
15,1.06548,0.456429
16,1.0155,0.471227
17,0.97187,0.501986
18,0.939452,0.541785
19,0.920726,0.583685
20,0.915884,0.621666
21,0.923209,0.65127
22,0.939629,0.669939
23,0.961374,0.677028
24,0.984598,0.673567
25,1.00592,0.661832
26,1.02278,0.644826
27,1.03368,0.625746
28,1.03817,0.607523
29,1.03674,0.592468
30,1.0306,0.582069
31,1.02139,0.576928
32,1.01088,0.576837
33,1.00071,0.58094
34,0.992185,0.587964
35,0.986183,0.596459
36,0.983076,0.605026
37,0.982786,0.612497
38,0.984868,0.618053
39,0.988634,0.621273
40,0.993286,0.622125
41,0.998044,0.6209
42,1.00225,0.618121
43,1.00543,0.614429
44,1.00733,0.610479
45,1.00792,0.606848
46,1.00733,0.60397
47,1.00586,0.602106
48,1.00385,0.601332
49,1.00167,0.601565
50,0.999635,0.602601
51,0.997999,0.604162
52,0.996915,0.605948
53,0.996433,0.607678
54,0.996514,0.60913
55,0.997052,0.610155
56,0.997896,0.610688
57,0.998878,0.610742
58,0.999843,0.610392
59,1.00066,0.609754
60,1.00125,0.608964
61,1.00157,0.608155
62,1.00163,0.607439
63,1.00145,0.606896
64,1.00111,0.60657
65,1.00068,0.606468
66,1.00023,0.606566
67,0.999825,0.606814
68,0.999515,0.607155
69,0.999324,0.607527
70,0.999257,0.607873
71,0.999301,0.608152
72,0.999432,0.608337
73,0.999618,0.60842
74,0.999823,0.608407
75,1.00002,0.608317
76,1.00017,0.608174
77,1.00028,0.608007
78,1.00033,0.607843
79,1.00033,0.607703
80,1.00028,0.607602
81,1.00021,0.607547
82,1.00011,0.607538
83,1.00002,0.607567
84,0.999945,0.607625
85,0.999887,0.607698
86,0.999854,0.607775
87,0.999847,0.607843
88,0.999861,0.607896
89,0.999892,0.607929
90,0.999932,0.607941
91,0.999974,0.607933
92,1.00001,0.607911
93,1.00004,0.60788
94,1.00006,0.607845
95,1.00007,0.607812
96,1.00007,0.607785
97,1.00005,0.607766
98,1.00004,0.607758
99,1.00002,0.607758
